ID,View/Description,Camera/Sensor/Method,Res,DelT
IDR413,Willis QLD,Local-scale 142km x 142km Composite,N/A,1.2
IDR41A,Willis QLD,Rainfields per 6 minutes,N/A,1.2
IDR41I,Willis QLD,Doppler wind velocity,N/A,1.2

IDR421,Katherine/Tindal NT,Broad-scale 512km x 512km Composite,N/A,1.2
IDR422,Katherine/Tindal NT,Mid-scale 256km x 256km Composite,N/A,1.2
IDR423,Katherine/Tindal NT,Local-scale 142km x 142km Composite,N/A,1.2
IDR42A,Katherine/Tindal NT,Rainfields per 6 minutes,N/A,1.2

IDR441,Giles WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR442,Giles WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR443,Giles WA,Local-scale 142km x 142km Composite,N/A,1.2
IDR44A,Giles WA,Rainfields per 6 minutes,N/A,1.2

IDR461,Adelaide Sellick's Hill SA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR462,Adelaide Sellick's Hill SA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR463,Adelaide Sellick's Hill SA,Local-scale 146km x 146km Composite,N/A,1.2
IDR46A,Adelaide Sellick's Hill SA,Rainfields per 6 minutes,N/A,1.2
IDR46B,Adelaide Sellick's Hill SA,Rainfields per hour,N/A,1.2
IDR46C,Adelaide Sellick's Hill SA,Rainfields since 9am,N/A,10
IDR46D,Adelaide Sellick's Hill SA,Rainfields in 24 hours,N/A,246

IDR481,Kalgoorlie WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR482,Kalgoorlie WA,Mid-scale 256km x 256km Composite,N/A,1.2
IDR483,Kalgoorlie WA,Local-scale 148km x 148km Composite,N/A,1.2
IDR484,Kalgoorlie WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR48A,Kalgoorlie WA,Rainfields per 6 minutes,N/A,1.2
IDR48B,Kalgoorlie WA,Rainfields per hour,N/A,1.2
IDR48C,Kalgoorlie WA,Rainfields since 9am,N/A,10
IDR48D,Kalgoorlie WA,Rainfields in 24 hours,N/A,248
IDR48I,Kalgoorlie WA,Doppler wind velocity,N/A,1.2

IDR491,Yarrawonga VIC,Broad-scale 512km x 512km Composite,N/A,1.2
IDR492,Yarrawonga VIC,Mid-scale 256km x 256km Composite,N/A,1.2
IDR493,Yarrawonga VIC,Local-scale 149km x 149km Composite,N/A,1.2
IDR494,Yarrawonga VIC,Local-scale 64km x 64km Composite,N/A,1.2
IDR49I,Yarrawonga VIC,Doppler wind velocity,N/A,1.2

IDR501,Brisbane/Marburg QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR502,Brisbane/Marburg QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR503,Brisbane/Marburg QLD,Local-scale 150km x 150km Composite,N/A,1.2

IDR521,NW Tasmania/West Takone TAS,Broad-scale 512km x 512km Composite,N/A,1.2
IDR522,NW Tasmania/West Takone TAS,Mid-scale 256km x 256km Composite,N/A,1.2
IDR523,NW Tasmania/West Takone TAS,Local-scale 152km x 152km Composite,N/A,1.2
IDR524,NW Tasmania/West Takone TAS,Local-scale 64km x 64km Composite,N/A,1.2
IDR52A,NW Tasmania/West Takone TAS,Rainfields per 6 minutes,N/A,1.2
IDR52B,NW Tasmania/West Takone TAS,Rainfields per hour,N/A,1.2
IDR52C,NW Tasmania/West Takone TAS,Rainfields since 9am,N/A,10
IDR52D,NW Tasmania/West Takone TAS,Rainfields in 24 hours,N/A,252
IDR52I,NW Tasmania/West Takone TAS,Doppler wind velocity,N/A,1.2

IDR531,Moree NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR532,Moree NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR533,Moree NSW,Local-scale 153km x 153km Composite,N/A,1.2
IDR53A,Moree NSW,Rainfields per 6 minutes,N/A,1.2

IDR551,Wagga Wagga NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR552,Wagga Wagga NSW,Mid-scale 256km x 256km Composite,N/A,1.2
IDR553,Wagga Wagga NSW,Local-scale 155km x 155km Composite,N/A,1.2
IDR55A,Wagga Wagga NSW,Rainfields per 6 minutes,N/A,1.2

IDR561,Longreach QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR562,Longreach QLD,Mid-scale 256km x 256km Composite,N/A,1.2
IDR563,Longreach QLD,Local-scale 156km x 156km Composite,N/A,1.2
IDR56A,Longreach QLD,Rainfields per 6 minutes,N/A,1.2

IDR581,South Doodlakine WA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR582,South Doodlakine WA,Mid-scale 258km x 258km Composite,N/A,1.2
IDR583,South Doodlakine WA,Local-scale 158km x 158km Composite,N/A,1.2
IDR584,South Doodlakine WA,Local-scale 64km x 64km Composite,N/A,1.2
IDR58A,South Doodlakine WA,Rainfields per 6 minutes,N/A,1.2
IDR58B,South Doodlakine WA,Rainfields per hour,N/A,1.2
IDR58C,South Doodlakine WA,Rainfields since 9am,N/A,10
IDR58D,South Doodlakine WA,Rainfields in 24 hours,N/A,258
IDR58I,South Doodlakine WA,Doppler wind velocity,N/A,1.2

IDR621,Norfolk Island NSW,Broad-scale 512km x 512km Composite,N/A,1.2
IDR622,Norfolk Island NSW,Mid-scale 262km x 262km Composite,N/A,1.2
IDR623,Norfolk Island NSW,Local-scale 162km x 162km Composite,N/A,1.2
IDR62A,Norfolk Island NSW,Rainfields per 6 minutes,N/A,1.2

IDR631,Darwin/Berrimah NT,Broad-scale 512km x 512km Composite,N/A,1.2
IDR632,Darwin/Berrimah NT,Mid-scale 263km x 263km Composite,N/A,1.2
IDR633,Darwin/Berrimah NT,Local-scale 163km x 163km Composite,N/A,1.2
IDR634,Darwin/Berrimah NT,Local-scale 64km x 64km Composite,N/A,1.2
IDR63A,Darwin/Berrimah NT,Rainfields per 6 minutes,N/A,1.2
IDR63I,Darwin/Berrimah NT,Doppler wind velocity,N/A,1.2

IDR641,Buckland Park SA,Broad-scale 512km x 512km Composite,N/A,1.2
IDR642,Buckland Park SA,Mid-scale 264km x 264km Composite,N/A,1.2
IDR643,Buckland Park SA,Local-scale 164km x 164km Composite,N/A,1.2
IDR644,Buckland Park SA,Local-scale 64km x 64km Composite,N/A,1.2
IDR64A,Buckland Park SA,Rainfields per 6 minutes,N/A,1.2
IDR64B,Buckland Park SA,Rainfields per hour,N/A,1.2
IDR64C,Buckland Park SA,Rainfields since 9am,N/A,10
IDR64D,Buckland Park SA,Rainfields in 24 hours,N/A,264
IDR64I,Buckland Park SA,Doppler wind velocity,N/A,1.2

IDR661,Mt Stapylton QLD,Broad-scale 512km x 512km Composite,N/A,1.2
IDR662,Mt Stapylton QLD,Mid-scale 266km x 266km Composite,N/A,1.2
IDR663,Mt Stapylton QLD,Local-scale 166km x 166km Composite,N/A,1.2
IDR664,Mt Stapylton QLD,Local-scale 66km x 66km Composite,N/A,1.2
IDR66A,Mt Stapylton QLD,Rainfields per 6 minutes,N/A,1.2
IDR66B,Mt Stapylton QLD,Rainfields per hour,N/A,1.2
IDR66C,Mt Stapylton QLD,Rainfields since 9am,N/A,10
IDR66D,Mt Stapylton QLD,Rainfields in 24 hours,N/A,266
IDR66I,Mt Stapylton QLD,Doppler wind velocity,N/A,1.2

IDR671,Warrego QLD,Broad-scale 512km x 512km Composite,N/A,1.2
